"Country","All","M","F","Sex gap"
"Monaco",89.8,86,93.7,7.7
"Singapore",86.7,84,89.5,5.5
"Macau",85.3,82.5,88.3,5.8
"Japan",85.2,82.3,88.2,5.9
"Canada",84.2,81.9,86.6,4.7
"San Marino",84.2,81.7,87,5.3
"Hong Kong",84,81.3,86.8,5.5
"Iceland",84,81.8,86.3,4.5
"Switzerland",83.9,82,85.8,3.8
"Andorra",83.8,81.6,86.2,4.6
"Guernsey",83.6,80.9,86.4,5.5
"Malta",83.6,81.5,85.8,4.3
"Australia",83.5,81.3,85.7,4.4
"Korea, South",83.4,80.3,86.6,6.3
"Luxembourg",83.4,80.9,85.9,5
"Israel",83.1,81.1,85.1,4
"Italy",83,80.7,85.5,4.8
"Jersey",83,80.6,85.7,5.1
"Liechtenstein",83,80.7,85.8,5.1
"Spain",83,80.3,85.8,5.5
"New Zealand",82.9,81.2,84.8,3.6
"Norway",82.9,81.3,84.6,3.3
"Sweden",82.9,81.2,84.7,3.5
"Austria",82.7,80.1,85.4,5.3
"Anguilla",82.6,80,85.3,5.3
"France",82.6,79.8,85.5,5.7
"Bermuda",82.5,79.4,85.7,6.3
"Cayman Islands",82.5,79.8,85.2,5.4
"Isle of Man",82.5,80.7,84.4,3.7
"Belgium",82.3,79.7,85,5.3
"Finland",82.2,79.3,85.2,5.9
"Slovenia",82.2,79.4,85.2,5.8
"United Kingdom",82.2,80.1,84.4,4.3
"Denmark",82.1,80.2,84.1,3.9
"Puerto Rico",82.1,78.9,85.5,6.6
"Ireland",82,80.3,83.9,3.6
"Germany",81.9,79.6,84.4,4.8
"Greece",81.9,79.4,84.6,5.2
"Netherlands",81.9,80.3,83.5,3.2
"Portugal",81.9,78.8,85.2,6.4
"Saint Pierre and Miquelon",81.8,79.5,84.3,4.8
"Faroe Islands",81.7,79.2,84.4,5.2
"Taiwan",81.6,78.6,84.7,6.1
"Turks and Caicos Islands",81.3,78.5,84.1,5.6
"Wallis and Futuna",81.1,78.2,84.2,6
"Saint Barthelemy",81,78,84.2,6.2
"Saint Martin",81,78,84.2,6.2
"Gibraltar",80.9,78.1,83.8,5.7
"Saint Helena, Ascension, and Tristan da Cunha",80.9,78.1,83.9,5.8
"United States",80.9,78.7,83.1,4.4
"Virgin Islands, U.S.",80.7,77.6,84.1,6.5
"Bahrain",80.4,78.1,82.7,4.6
"Chile",80.3,77.3,83.3,6
"Costa Rica",80.3,77.7,82.9,5.2
"Qatar",80.3,78.2,82.4,4.2
"Cyprus",80.2,77.4,83.1,5.7
"Cuba",80.1,77.8,82.6,4.8
"Virgin Islands, British",80.1,78.6,81.7,3.1
"Albania",79.9,77.3,82.8,5.5
"Curaçao",79.9,77.6,82.3,4.7
"United Arab Emirates",79.9,78.6,81.4,2.8
"Sint Maarten",79.7,77.4,82.2,4.8
"Kuwait",79.6,78.1,81.1,3
"Saint Lucia",79.4,76.7,82.3,5.6
"New Caledonia",79.3,75.4,83.3,7.9
"Lebanon",79.2,77.8,80.7,2.9
"Panama",79.2,76.4,82.2,5.8
"Barbados",79,76.3,81.8,5.5
"Brunei",78.9,76.5,81.3,4.8
"French Polynesia",78.9,76.6,81.3,4.7
"Uruguay",78.9,75.8,82.1,6.3
"Argentina",78.8,75.8,82,6.2
"Paraguay",78.8,76.2,81.6,5.4
"China",78.7,76,81.7,5.7
"Dominica",78.7,75.8,81.8,6
"Czech Republic",78.6,75.6,81.8,6.2
"Aruba",78.5,75.4,81.6,6.2
"Bosnia and Herzegovina",78.5,75.5,81.6,6.1
"Estonia",78.4,73.8,83.2,9.4
"Antigua and Barbuda",78.3,76.1,80.5,4.4
"Montenegro",78.2,75.8,80.7,4.9
"Thailand",78.2,75.2,81.3,6.1
"Guam",78,75.6,80.5,4.9
"Tonga",78,76.4,79.7,3.3
"Algeria",77.9,77.2,78.7,1.5
"Croatia",77.7,74.6,81,6.4
"Libya",77.7,75.5,80,4.5
